Year,Month,Day,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
1992,9,20,0,45.7,140,0,0.4,0,0,0,0,0,0,2,0,0,6,7,0,0,0,0,0,11,0.5,20.5
1992,9,21,0,26.8,0,0,0.2,2.5,0,0,0,2,0.5,0,0,0,12.5,6,0.5,0,0,0,0,0,0.5,4.5
1992,9,22,Trace,58.4,0,0,0,1,0,0,0,0,35,0,0,0.5,17.5,0,10,0,0,0,2,2.5,17.5,1.5
1992,9,23,0,25.8,0,0,0,0,0,0,0,0,12.5,0,0,0,72.5,0,0.5,0,0,0,1.5,0,1.5,0
1992,9,24,0,0.6,0,0,0,7,0,0,0.5,0,0,0,37,0,13,15.5,0,0,1,0,0,0,31,0
1992,9,25,0,5.1,0,0,0,1,0,0,4.5,24,3.5,0,2.5,0,32.5,5,0,0,0,0,0,0,12.5,8.5
1992,9,26,0,0,0,0,0,0.5,0,0,0,0,1,0,1,0.5,67,0,1,0,0,0,0,0,11.5,38.5
1992,9,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8
1992,9,28,0,7,0,0,0,28.5,0,0,0,0,0,0,0,0,13.5,2,0,0,0,0,0,0,6,7
1992,9,29,4,0,6.5,0,0,0,0,0,0,12,0,0,0,2,2.5,91.5,0,0,0,0,0,0,0,40
1992,9,30,Trace,0,0,0,0,2.5,0,0,17.5,0,0,0,0,1.5,13.5,35.5,0,0,1,0,0,0,1,7.5
1992,10,1,0.7,15.3,0,0,20.7,2.5,0,0,7.5,18.5,0,0,0,3.5,104,0,0.5,19.5,0,0,0.5,4,0.5,56
1992,10,2,Trace,0,0,0,8.3,2.5,0,0.5,0,0,0,0,0,0.5,1,17.5,0,11.5,0,0,0,21.5,0,1.5
1992,10,3,0.7,4.1,0,0,0,0,0,1.5,0,0,0,0,20.5,1.5,29,0,0,9.5,0,0,0,88,0,0
1992,10,4,0,27.2,1,0,1.1,0,0,0,0,8,0,0,0,0.5,0,0,0,9.5,0,0,0,30.5,0,0
1992,10,5,Trace,27.9,0.5,0,0,0,0,0.5,0,5.5,0,0,0,0,5.5,0,0,57.5,28,0,0,39.5,0,2
1992,10,6,0,3.7,0,0,0,0,0,0,0,0.5,0,0,0,0,97.5,6,0,25,13,0,0,28,0,17.5
1992,10,7,0,11.4,0,0,0,0,0,7.5,0,2,0,1,0,0,5.5,33,0,10,0,0,0,9,0,17
1992,10,8,0,0,1.5,0,0,0,0,2.5,0,2.5,0,0,0,0,0.5,45.5,0,0,29,0,0,0,0,178
1992,10,9,0,0.6,1.5,0,0,0,0,0,1,0,0,0,5.5,0,0,15.5,0,0,1.5,2,0,0,0,13.5
1992,10,10,0,0.1,27,0,0,0,0,0,0,0,0,0,0.5,0,0,3,0,0,0,13,0,5,0,3
1992,10,11,Trace,0.3,0,0,0.8,0,0,0,0,0,7,0,5.5,4,0,2.5,0,0,0,7,0,6,0,15.5
1992,10,12,0.5,0,0,0,0,0,0,29,0,0,4.5,0,5,1,0,0,0,0,0,0,0,0,0,27.5
1992,10,13,0.6,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0
1992,10,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.5
1992,10,15,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5
1992,10,16,0,13.7,0,0,0.6,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
1992,10,17,0,1.6,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,13
1992,10,18,0,141.9,0,0,0,0,0,0,0,0,0,0,2,1,1,0.5,0,0,0,0,0,0,0,31.5
1992,10,19,0,108.1,0,0,3.6,0,0,0,0.5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,27
1992,10,20,0,25.8,0,0,6.3,0,0,0,0,0,0,0,2,0,0,1.5,0,0,0,0,0,4,0,17.5
1992,10,21,0,1.8,2,0,0,47,0,0,8,146.5,0,1,7,0,0,5.5,0,8,0.5,0,0.5,1,0,21.5
1992,10,22,0,0.3,0,0,5.8,60,0,0,0,0,0,0,2.5,0,0,2.5,0,35.5,0,0,0,0,0,0
1992,10,23,0,0,0,0,0,2.5,0,0,7,0,0,0,1,0,5,33,0,76,0,0,4,0,0,0
1992,10,24,0,0,0,0,0,0,0,0,48,0,0,1.5,28,0,0,1.5,0,0,3.5,0,0,0,0,0
1992,10,25,0,1.3,0,0,0,0,0,0,6.5,0,0,1,21.5,0.5,0,61,0,0.5,5.5,7,0,3.5,0,0
1992,10,26,0,3.7,0,0,0,0,0,0,4.5,0,0,0,0,1.5,0,16,0,2,0.5,0,0,0,0,0
1992,10,27,0,0,0,0,8.8,0,0,0,41.5,0.5,0,0,0,10.5,0,0,4.5,8,5.5,0.5,0,0,18,41.5
1992,10,28,8.3,0,0,0,0,0,0,0,0,0,0,0,26,3.5,0,0,1.5,23,0,2,0,0,0,9.5
1992,10,29,Trace,0,0,0,0,0,0,0,0.5,1,0,1.5,44,0,16.5,0,0,138.5,0,2.5,62.5,0,0,1.5
1992,10,30,0,0,0,0,0,0,0,0,10,3,0,0.5,0.5,0.5,51.5,0,0,98.5,0,0,15.5,0,0,1
1992,10,31,0,0,0,0,0,0,0,0,23.5,0,0,1,0,0,0,3.5,0,101,0,0,0.5,0,0,4.5
